sentence1	sentence2	label	genre
Using WebEx hosting services , our grantees will be able to meet electronically via the web .	Our needs wo n't be guaranteed by using WebEx as a hosting service	contradiction	government
De Gaulle , with his canny sense of history , took an important step toward rebuilding national self-confidence by insisting that French armed forces fight side by side with the Americans and British for the liberation of the country , but , above all , that the French army be the first to enter Paris itself .	De Gaulle knew a lot about history .	entailment	travel
It looked like a cluster of colored threads , partly woven into a rather garish pattern .	The threads were all of the same color .	contradiction	fiction
The seventy leading Satheri were all present , with Sather Karf presiding , when Hanson was ushered into their presence .	In addition , people were there to record the meeting .	neutral	fiction
One of the mounted men was dressed in fringed buckskin , his shoulder-length hair and bushy black beard the badge of a frontier already passing swiftly into history .	There were no mounted men wearing buckskin .	contradiction	fiction
If there 's a rock 'n ' roll critics ' Heaven , You know they got a hell of a Faculty !	All the great Rock and Roll critics must be overflowing in heaven .	entailment	slate
And the United States is also leading the creation of new international the Asia-Pacific Economic Cooperation forum , the North Atlantic Free Trade Association , the World Trade Organization , the Kyoto Protocol on Climate Change , and the Chemical Weapons Convention .	The US is creating new international conventions .	entailment	slate
Delightful as the vineyards of Burgundy may be , the landscape and villages of certain other routes des vins may be considered prettier ' those of Alsace , for instance .	The vineyards of Burgundy are considered to be prettier than those of Alsace .	contradiction	travel
Le Vau also designed the marble courtyard , decorated with 84 marble busts .	The courtyard has 84 marble busts and was designed by Le Vau .	entailment	travel
and people just she she she she used to say to me when at when she was ninety two or something at the time say	I think she was 33 when she had something to say .	contradiction	telephone
was uh was the gold worth i mean was it really gold	I think that gold is really gold .	entailment	telephone
Initially the Fringe consisted of several small theater companies that were not included in the official festival program but nevertheless decided to hold performances on the same dates .	Smaller theater companies held performances on the same days as the festival .	entailment	travel
i do n't know Frisco there always seemed to be a lot of drugs in Frisco for as small a town as it was there were a lot of drugs	There were a lot of drugs in the small town of Frisco .	entailment	telephone
on on the way in so it 's uh but i i think uh a person who has some idea like you did is is is well uh you you know that that helps a lot were you uh well prepared for Tech in in your school did you go to public school in Midland	A strong public school has a good chance to provide a strong background .	neutral	telephone
This Report of the Commission identifies the current interpretation used by LSC grantees and the impact of alternative interpretations on all categories of eligible aliens .	The report of the commission identifies a current interpretation that the LSC grantees use for interpretations for Mexicans .	neutral	government
The town 's Museum of Turkish and Islamic Art ( Turk ve Islam Eserleri Mezesi ) is just next to the mosque .	The mosque is situated next to the Museum of Turkish and Islamic Art .	entailment	travel
Japp , who was the least surprised of any of us , was the first to speak .	Japp , with no apparent surprise , spoke before anyone else .	neutral	fiction
At once a voice arose among The bleak twigs overheadIn a full-hearted evensong Of joy illimited ; An aged thrush , frail , gaunt , and small In blast-beruffled plume , Had chosen thus to fling his soul Upon the growing gloom .	The thrush was so encased in his gloom that he could n't bare to make a sound .	contradiction	slate
Mrs. Inglethorp was in the habit of drinking a cup of coco in the middle of the night .	Mrs. Inglethorp usually drank coco late at night when she could n't sleep .	neutral	fiction
They chose to steal children from their mothers in their sleep so I chose to steal their lives in return .	Children were safe against all threats .	contradiction	fiction
Time says that space tourism has a new former astronaut Buzz Aldrin .	Space tourism is expected to grow over the next few decades .	neutral	slate
okay i like country western it 's my favorite yeah Willie Willie Waylon and the boys	I like country Western specifically for Willie Waylon and the boys .	neutral	telephone
It is arguably the best in Sicily , an invaluable one-stop crash course in understanding the Greek and other ancient cultures of the city and island .	It 's one of the best in Sicily and offers an understand of Greek and other ancient cultures .	entailment	travel
There might have been ?	There may have been ? He said .	neutral	fiction
It 's quite possible , as Harvard Professor Mary Waters suggests , that the ranks of the white will simply expand to engulf the lighter or more culturally white of the multiracials .	Mary Waters believes the demographic shift in more American voters now being made up of multiracial citizens will compel the traditionally white voting block to recruit support from minorities with beliefs similar to white culture as a way to reinvent the party for political solvency .	neutral	slate
summer and and winter so that uh we you you became accustomed to it i guess but uh otherwise	I prefer summer .	neutral	telephone
Funding for alcohol-related research needs to be provided to emergency department personnel on a priority basis because such funding will lead to their professional development , increase their national stature , lead to their advancement in professional societies , lead to association with policymakers , and enhance their opportunity to become opinion leaders .	Alcohol-related research is a huge waste of money , is n't it ?	contradiction	government
It was lauded as the best island resort in the world for years , and it is still one of Hawaii 's premier oceanfront resorts , with a vast art collection , a great beach , a major golf course , a loyal staff , and a style all its own .	It has a vast car collection in the resort .	contradiction	travel
The Los Angeles Visitor and Convention Bureau , on Figueroa Street between 7th Street and Wilshire Boulevard , offers extensive information on attractions throughout the city .	The LA Visitor and Convention Bureau has extensive information of attractions .	entailment	travel
Also within the sprawling grounds of the park are the official residence of the president of the Republic , which dates from 1751 ( guided tours from the Visitor Centre Saturday at 9:40am and 4:20pm ) , and the US ambassador 's residence , an 18th-century house which was formerly the official residence of the Viceroy 's chief secretary ( not open to the public ) .	The US ambassador 's residence used to be open to the public .	neutral	travel
Nominee-stoning is what the two-party system and separation of powers are for .	The two-party system and separation of powers are for nominee-stoning .	entailment	slate
'Now then , doc , '	Take your time , doc .	contradiction	fiction
Nearby is a blue pitcher bursting with sun-yellow forsythia blooms .	A blue pitcher with yellow forsythia blooms and baby 's breath is nearby .	neutral	slate
This is Evelyn Howard !	This does n't even look like Evelyn Howard .	contradiction	fiction
really he probably had those glasses on like you know those Annie Hall kind of glasses i do n't know what you call it John Lennon glasses that 's what they are the women i call Annie Hall glasses but	He did n't have glasses that looked like Annie Hall 's .	contradiction	telephone
I understand the depths of their pain .	I do n't understand their mirth .	contradiction	government
yeah no my wife 's pretty good about uh grocery shopping and	My wife has always been good about groceries , that is why I married her .	neutral	telephone
It should also be noted that most of the retrofits needed by 2005 are being installed to meet existing requirements under the NOX SIP Call or other regulatory requirements as opposed to the requirements of a multipollutant program such as the Clear Skies Act .	Most of the retrofits are installed to meet the Clear Skies Act .	entailment	government
that 's good that 's good it it it 's uh it 's hard for me to find time also to read uh a lot of times i do just read magazines and stuff like that for for you know because i do n't have a lot of time but when i do get to sit down and and read i like to read the Bible and i like to read i read to my daughter a lot too	I wish that I had more time to sit and read my Bible .	neutral	telephone
The editorial stemmed from a News & amp ; Advance article which highlighted three women and four children who were being evicted after their home at 1328 Bedford Ave. , was cited for two dozen code violations .	Three women and four children were homeless after they were evicted .	neutral	government
A short distance uphill brings you to the Baroque west front of the Iglesia de Santa Maraa ( between the Calle Mayor and the Calle Jorge Juan ) .	Iglesia de Santa Maraa is located uphill .	entailment	travel
'Excuse me ? ' White squinted .	White was offended by his friend 's comment , saying `` Excuse me ? '' in disbelief .	neutral	fiction
Lovers of classical music should make for the Mann Auditorium , Hubermann Street .	Those who love classical music must visit the Mann Auditorium .	entailment	travel
Unemployment has dropped to 2.6 percent between February and April 1997 from 3.3 percent in the same period a year ago .	In the beginning months of 1997 , there was a drop in unemployment , down to 2.6 percent .	entailment	slate
VA did not identify any other statute or executive order imposing procedural requirements relevant to the rule .	The VA could not find any executive order or statue that imposed any procedural requirements that were related to the rule .	entailment	government
Since specific authority to implement a fast pay process for the acquisition of goods and services at agencies exists as set forth in OMB Circular A12513 and FAR , our permission is not necessary .	Our permission has not been required since OMB Circular A12513 and FAR were adopted in 1996 .	neutral	government
Do you want to lie on beaches or hike in mountains ?	It 's impossible to actually lie on the beaches .	contradiction	travel
yeah it it 's it 's pretty good	This is bad .	contradiction	telephone
An overpoweringly fragrant shop located in the port area of Ibiza Town stocks just about every spice known to modern man .	The shop located in Ibiza sells fragrant spices .	entailment	travel
The 1 ) There goes the latest faddish cancer prevention theory .	No one has any theories about cancer prevention .	contradiction	slate
The official climbing season is 1 July to 31 August , although mountain huts at each of the ten stations on the various routes of ascent are open from April to mid-November .	Climbing season here starts in December and ends in April .	contradiction	travel
18 An integrated product team is a concentration of product expertise within a team of employees who , together , have the authority to design , develop , test , manufacture , and deliver a product .	An integrated product team will have off the project to a separate group for testing .	contradiction	government
On January 12th the Postal Service submitted such a request seeking an additional $ 3 .	The postal service requested $ 3 more on January 12	entailment	government
Thus , the postal density of carriers ' walking between nearby stops is lower than that of carriers ' driving between greatly separated stops .	Carriers ' walking between nearby stops have lowest postal density than that of carriers ' driving between greatly separated stops .	entailment	government
The winding channel is 30 km ( 18 miles ) long and about 2 km ( 11.2 miles ) wide , narrowing to 750 metres ( 2,250 feet ) at Rumeli Hisare .	The channel is 100km long , 5km wide with its narrowest point at 2km .	contradiction	travel
Yes , it was on the prisoner 's wardrobe .	It was found under the wardrobe .	contradiction	fiction
and we 'd go up to the Adirondacks and camp and it was so you know pick your own uh blueberries and make blueberry pancakes for breakfast uh also go ahead	We made fresh blueberry pancakes .	neutral	telephone
Dave paid no attention to where his feet were leading him , only vaguely aware that he was heading down a gully below the current construction job .	Dave paid attention to where he was going .	contradiction	fiction
They ruled the 79 towns of medieval Provence and their impregnable fortress became a center of courtly love prized by traveling troubadours .	The fortress was closed to troubadours and any who approached were shot on sight .	contradiction	travel
Spain 's Golden Age	Spain had a Golden Age .	entailment	travel
he helps a lot with her he helps feeding her changing her and playing with her and and i think he has to be conscious of of uh needing to spend time with her if not then he gets wrapped up in the TV and the newspaper and whatever else and he says oh i did n't spend time with Emily	He enjoys taking care of Emily but sometimes wishes he had more time to do other things .	neutral	telephone
'Actually , ' I took the risk of standing .	I stayed sitting down .	contradiction	fiction
Acrosefrom the square are the back streets of Laleli , the place to look for low-priced clothes .	Inexpensive clothing can be found quite easily on Laleli 's back streets .	entailment	travel
Tax authorities are further threatened by the growing use of electronic money . E-cash can be used to facilitate a host of illegal businesses , including drug transactions , thereby eliminating the need for suitcases full of $ 100 bills .	Tax authorities would argue that they are simply trying to ensure that the government gets its fair share .	neutral	slate
For those who seek music action in discos and nightclubs , Milan seems to have the best selection .	Nightclubs are one of the main reasons people go to Milan .	neutral	travel
'Nothing , for now .	There is nothing to do now .	entailment	fiction
Or will they stay the course and ask government to do more with less ?	But will they stay on course , asking government to use less and get more done ?	entailment	slate
so if you pay your uh rent or your house payment every two weeks instead of once a month you 'll come out paying a	You can pay your rent or house payment every two weeks instead of once a month .	entailment	telephone
In fiscal year 1998 , Texas spent approximately $ 7 .	In the fiscal year 2017 Texas has spent $ 1,738 .	contradiction	government
'Not bad , ' Derry said , circling the Clone Tank .	There was a clone of Derry in the tank .	neutral	fiction
Where 's Susan , Jon asked Ca'daan .	How 's Susan , Jon asked Ca'daan .	contradiction	fiction
It is holy to not merely one religion but to the three great Western monotheistic Judaism , Christianity , and Islam .	It is holy to Judaism , Christianity , and Islam .	entailment	travel
The half-light from the reflected sunlight dimmed , and the ground shook violently .	The ground was shaking a lot .	entailment	fiction
But it was settled by the principal Labour leaders , and we can not seem to interfere too much .	The matter was debated about until settled .	neutral	fiction
The Kesava Temple , built in 1268 , is a tiny , shining jewel in the crown of Indian architecture .	The Kesava Temple is the largest temple in the world .	contradiction	travel
These 1 ) approving both changes in existing services and the establishment of new services -- -those are known as classification cases ; 2 ) adjudicating complaints from anyone who believes the Postal Service is not providing rates or services as required by law ; 3 ) issuing advisory opinions when the Postal Service proposes a substantially nationwide change in the nature of its services ; and , 4 ) our mostly recently assigned task , providing Congress with annual reports about the costs and revenues of international mail .	Complaints from people who believe the Postal Service is not following the law should be ignored .	contradiction	government
Granddaughter Theorysia ran over to greet her grandpa :	She ran to see her grandpa .	entailment	fiction
No risk , and there would be no bullfight .	Absence of risk means absence of cockfights .	contradiction	travel
The cost of this Video operation may function as an upper limit for most of the mail .	This Video operation was more expensive than operations in previous years .	neutral	government
um-hum yeah probably the hardest thing in in my family uh my grandmother she had to be put in nursing home and um she had used a walker for for quite sometime probably about six to nine months and um	my grandmother still lives at home ; she does n't have any sort of health problems	contradiction	telephone
She added that an in-home , brief intervention linked with primary care found no association between stage of change and outcome .	She looked into the effects of short in-home interventions .	entailment	government
It can also damage fabrics ( especially protein-based materials such as silk and wool ) .	It has no possibility of damaging fabrics .	contradiction	slate
The e-rate plan also mistakenly imagines that high speed , affordable Internet service will never reach rural America without government help .	The e-rate plan states that high speed internet is already available and affordable throughout rural America .	contradiction	slate
This may have been in part caused by either a wage premium or technical inefficiencies or a combination of both .	Technical inefficiencies have contributed to the larger issue at hand .	entailment	government
Now we lose the village , said Jon .	Jon said we will be able to keep the village .	contradiction	fiction
Respiratory Health and PM10 a Daily Time Series Analysis American Review of Respiratory Diseases 144 : 668-674 .	Respiratory diseases are not reviewed in America .	contradiction	government
Every time he turns up on the scene -- and even when ( as in the case of Kathleen Willey ) he does n't -- people What 's he doing here ?	When he shows up on the scene people cheer .	contradiction	slate
get me in trouble so see it did n't use to bother me when i thought that you know if i come in there and they say okay you tested positive now explain yourself and i could say yeah well i was around some people that were smoking pot but i was n't but you know it 's the idea that	It did n't use to bother me when I got caught for smoking .	entailment	telephone
Why , I shall say Oh dear , I do n't know .	I have thought about it , but I have no idea why .	neutral	fiction
The castle was extended , and in 1582 the Town 's College ( the precursor of the University of Edinburgh ) was founded .	The castle was extended in the year 1563 .	neutral	travel
13 Office of Personnel Status of Achieving Key Outcomes and Addressing Major Management Challenges ( GAO-01-884 , July 9 , 2001 ) .	Major management challenges are ignored .	contradiction	government
Ehrenhalt himself advocates a return to the choice-free , obedient life of the 1950s , but while seductive in the abstract , it sounds more and more confining on close examination .	Enrenhalt calls for all aspects of our life to be dictated .	contradiction	slate
Excellent value .	It is a very poor value .	contradiction	travel
The good New drugs and treatments make it easy to live with asthma .	Asthma is a terrible and like threatening disease .	neutral	slate
The postal service does not have the option of sorting the mail on a computer before the address is printed .	The postal service does n't print addresses .	contradiction	government
We 're not going to let you quit . '' Through her sobs the girl said indistinctly : `` You 're from home .	While bawling , the lady said unintelligibly .	entailment	fiction
Entitlements are not the only thing that matters .	Entitlements no longer matter .	contradiction	slate
Anything 'll eat fruit . ''	Nothing will eat meat .	contradiction	fiction
Dioramas populated by waxwork dummies .	There were waxwork dummies .	entailment	fiction
It takes a while to realize that not just certain stores , but every store on these islands sells at the same taxless , duty-free prices .	The same prices can be found at every store on the islands .	entailment	travel
uh i do n't know who else i 've ever that 's about it i was always a Viking fan i think i was into the Cardinals for a little bit	I have never been a fan of the Vikings , I hate them .	contradiction	telephone
Do n't you see it , the male principle of rule and the female principle of whim ; they join , and the egg is fertile !	The principles of rule and whim join together , resulting in a fertilized egg .	entailment	fiction
i tried uh this past year writing uh journal articles but uh i found out it cost me more than the the honorariums i got for writing them	I made a lot of money writing journal articles .	contradiction	telephone
As I was sworn in as a licensed attorney in the state of Iowa-which is a small rural farming state located in the midwestern part of our country-I optimistically and mistakenly believed that my life in legal services would be a short one .	I work in California as a plumber .	contradiction	government
never be the same so i do n't know it 's it 's really scary and i do n't know what to and i do n't know what needs to be done you know it seems like there 's no room in jails to put them in jail and when they do put them in there you know were i 'm taking a business law class at night and the guy that teaches it is a practicing criminal attorney and	It seems the jails are overcrowded and they do n't have any rooms for criminals .	entailment	telephone
sometimes the deejays are just kind of annoying and irritating and uh it gets kind of old and they play the same songs over and over and i just get kind of tired of all that	The DJs play such a variety of music , I love it .	contradiction	telephone
well they 're already talking about freedom of choice you know for schools that 's an idea	Freedom of choice is an idea for schools .	entailment	telephone
President Clinton gave a six-hour deposition in the Paula Jones case . With Jones staring him in the face , he reportedly testified that he had n't exposed himself to her and did n't recall meeting her .	President Clinton was deposed for 12 hours as part of the Paula Jones case .	contradiction	slate
Inglethorp was unusually quiet .	Inglethorp was conspicuously quiet .	entailment	fiction
Migration takes place from September through November and from March through May .	All migration takes place in December or January .	contradiction	travel
News , a long book excerpt warns that Internet security is dangerously lax .	The excerpt suggested ways to improve Internet security .	neutral	slate
Well , here goes , murmured Tommy to himself , and repeated his former remark .	Tommy muttered under his breath , preparing to speak again .	entailment	fiction
yeah i hate to see that but it 's uh that that you know if what it 's going to take well you know we can deduct that from our income tax our federal income tax	They hate to see it happen .	neutral	telephone
Number of Offices	Amount of offices	entailment	government
Men raged and rushed at her only to fall stumbling away clutching slashed throats or eviscerated bellies .	Men charged forth to meet her , but succumbed to the ravages of her blade .	entailment	fiction
it 's your risk do you trust your your son	Is your son trustworthy ?	entailment	telephone
The whole point of the fashion was the tension between the force of female personality and the delicacy of the feminine body .	Fashion is only about personality .	contradiction	slate
Either way , you 're paying someone ( the agency or the nanny ) .	You are paying either the agency or the zoo .	contradiction	slate
Thanks to King Hezekiah 's hidden water tunnel , the city narrowly escaped destruction .	The hidden water tunnel did not help the city in escaping destruction .	contradiction	travel
In 2002 , we designed several new approaches .	We designed new approaches .	entailment	government
The wounds would heal , and the beatings could never kill him ; but there had been no provision in his new body for the suppression of pain .	While his body could sustain the beatings , his mind was a slave to the pain .	entailment	fiction
He recently said that a Washington state initiative to require trigger locks was written by Satan .	He said the trigger lock law was the worst law the state had seen .	neutral	slate
And the idea is a good one , yes .	The idea is thought to be great .	entailment	fiction
Slate 's political correspondent , David Plotz .	Slate 's humor columnist , Plotz .	contradiction	slate
That was enough for me .	That was all I could take .	entailment	fiction
In the long run , a larger capital stock also requires more saving just to replace depreciating capital .	In the long run a larger capital stock does not require more savings to replace depreciating capital .	contradiction	government
Tanah Rata is festooned with hotels , good Chinese and Indian restaurants , and a variety of English-style tearooms serving the local Cameronian brew together with cakes and servings of locally grown strawberries and cream .	Tanah Rata 's delicacies are fitting for both locals and tourists alike .	neutral	travel
Susan was invited to stay with Alek , the younger boy .	Susan was forbidden to stay with Alek .	contradiction	fiction
You may even find pleasure in realizing that you have acted with noblesse oblige in not flaunting your superiority .	You may notice that being humble lets you have more friends .	neutral	slate
These individuals are responsible for ensuring the legality , propriety , validity , and accuracy of all payments they authorize .	While managers authorize payments , only accountants can be responsible for their legality .	contradiction	government
okay are you you used to live in Miami	Did you use to live in Miami ?	entailment	telephone
A friend persuaded him to see a coffee farm in Costa Rica , mostly as a fun trip .	At the urging of a friend he took a fun trip to a coffee farm .	entailment	government
By letter of May 9 , 1996 , the Commission informed SBA of its certification .	The SBA was informed about the notification in 1996 .	entailment	government
Now with plenty of smart comedy aimed at kids -- The Simpsons and Letterman come to mind -- Mad is as superfluous and weary as the grandfather we shunted into that nursing home .	Mad is not even a front-runner in popular kid 's magazines these days .	neutral	slate
A new Dialogue on Freedom Web site -- www.dialogueonfreedom.org -- is giving lawyers the tools to conduct robust discussions with students .	The site gives lawyers the skills to have discussions with students .	entailment	government
The nucleus of the tourist nightlife scene consists mainly of the major hotels and their bars and nightclubs .	Hotels and nightclubs are at the center of the tourist nightlife scene .	entailment	travel
The Republican platform advocated that citizenship be denied to children born in the United States to illegal immigrants .	The children of illegal immigrants being denied citizenship was part of the Republican platform .	entailment	slate
usually usually you 'd see these big chain gangs out there picking up trash	Normally you would see these big gangs cleaning up the trash .	entailment	telephone
Here is a beautiful city , one that ought to make any American proud .	Americans are already proud of the city in question .	neutral	slate
if like you know you could go to a Chinese restaurant and eat the right um Italian you know that	You could go to a Chinese restaurant and eat Italian .	entailment	telephone
Not only do thousands of economists agree on something , but what they agree on is the warm and cuddly idea that we should do more to protect the environment .	Environmental protection is agreed on by economists .	entailment	slate
and at that point i try at least try to get through most most the front section and maybe you know one or two other sections	I try to get through at least a section of the book .	neutral	telephone
This is the Pointe des Ceteaux , a wildly beautiful cliff formation with rocks shaped like castles , lashed and eroded by the Atlantic 's waves .	The rock formations are uncommon for the region .	neutral	travel
And while I do n't think I 've received a single response to today 's question that seeks to trivialize Louima 's suffering , I still feel uneasy , and so I 've omitted those replies .	There are no responses to the question about Louima 's suffering because the people are unfamiliar with Louima .	neutral	slate
Poirot politely set chairs for every one .	Poroit placed chairs for everyone .	entailment	fiction
Despite the assertions of some CEOs , while one key player can make a difference , it requires a team of talented executives to add shareholder value and manage shareholder risk over time .	Some CEOs believe that one person 's talent can outperform an entire team .	entailment	government
NORTHEAST	Direction in between north and east .	entailment	travel
yeah yeah yeah yeah um-hum because there 's	Definitely not .	contradiction	telephone
This pattern of installations exhibits that the catalyst market demonstrated the ability to respond to the surge in demand resulting from a dramatic increase in SCR installations .	The catalyst market demonstrated the inability to respond to the surge in demand .	contradiction	government
so we 're getting a large oh gosh i do n't know i think there 's like twenty six different languages now that are spoken in i the DISD Dallas Inner City School District	There are 26 languages in the school district .	entailment	telephone
HCFA also determined that the rule could have a significant impact on other classes of hospitals as well .	HCFA determined that the the rule would only effect one class of hospitals .	contradiction	government
um-hum no well actually i graduated with a BS in double E in in eighty eight and i 've been in school ever since then	I never want to finish school because I love learning about everything .	neutral	telephone
that 's not that 's really good compared to eighteen and twenty one which some of them are uh uh some of them are really extreme high	It 's unexpected that these numbers are as big as they are .	neutral	telephone
That young man could offer little information , however .	The young man was very helpful .	contradiction	fiction
An autocrat !	A democrat !	contradiction	fiction
The category of permanent residents includes commuter aliens , who work in the United States but whose actual residence is across the border in Mexico .	Those who commute live in Mexico and commute to the United States to work can be in the category of permanent resident .	entailment	government
But it 's also true , as never before , that the archives of sound and image constitute a continuous retro loop that people can -- and will -- draw on .	The sound is turned off .	contradiction	slate
Walker thought the goal of this recommendation was to de-emphasize fine-grained , developmental work and to emphasize pursuing work using available interventions .	Walker 's recommendation was to not emphasize work using available interventions .	contradiction	government
As a further blow to the economy , the British Parliament passed the Sugar Equalization Act in 1846 as part of a new free-trade policy .	Britain 's Sugar Equalization Act of 1846 negatively affected the economy .	entailment	travel
Under the Paperwork Reduction Act , these disclosure requirements are to be submitted by HUD to OMB for approval .	Under the Paperwork Reduction Act , nothing must be submitted to any agency .	contradiction	government
that 's right draw your own inference um	That is the information they gave us so that we could make our own judgement .	neutral	telephone
but uh it 's kind of nice i 've noticed a little bit of love handles here and there and my face has filled out a little bit from the pictures but uh	I still look exactly the same as I did as evidenced by the pictures .	contradiction	telephone
The code is one helping is called a porcien ; a large serving is a racien ; half as much , a media-racien .	A big helping is called a rapion .	contradiction	travel
Over the years the Arc de Triomphe ' 50 m ( 164 ft ) high and 45 m ( 148 ft ) wide ' has become a symbol of the nation .	The Arc de Triomphe , stretching 50 meters into the air , is a symbol of France .	entailment	travel
It burrows from inside the city to a spring outside the walls ; you can descend the steps and climb right into it .	There are n't any unusual methods of leaving the city .	contradiction	travel
Today , office blocks and apartment buildings are of course constructed with modern materials .	In these modern times , unfortunately office blocks are constructed with no modern materials .	contradiction	travel
Longer hikes follow well-marked trails across the fields .	It 's not recommended that beginners take longer hikes on these trails .	neutral	travel
water skiing or snow skiing	Snow or water skiing are both water skiing if you think about it .	neutral	telephone
A little way from Askham village is Lowther Park .	Lowther Park is a little way from Askham village .	entailment	travel
Islam frowns on the use of precious metals in its religious buildings , so artisans working more basic raw materials have always been highly regarded in the Arab world .	Islam says not to use precious metals in religious buildings .	entailment	travel
If there is no place for us there is no place for those who would attack them .	If there is n't a place for our fight , there wo n't be much room for anyone else to do the same .	neutral	fiction
I took a car .	I stole a car .	entailment	fiction
The man 's twenty years younger than you , and do n't you fool yourself as to what he married you for .	You have money and he married you for that money .	neutral	fiction
It was only Sean Connery 's peculiar combination of traits -- he could seem rugged and snooty at once -- that made us think 007 a more interesting character than he was .	The character 007 was more interesting because of Sean Connery . The movies may not have been as popular with another actor .	neutral	slate
